id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/1179429	10.2307/1179429	Politics and Culture in Anarchist Education: The Modern School of New York and Stelton, 1911-1915	Florence Tager	Curriculum Inquiry	16	4	1986-12-01T00:00:00Z	pp. 391-416	Ontario Institute for Studies in Education/University of Toronto, Wiley	fla		The Modern School of New York and Stelton was the first anarchist working-class alternative school for children in the United States. The school was influenced by Leo Tolstoy's school at Yasnaya Polyana in Russia and Francisco Ferrer's Escuela Moderna in Barcelona. The Escuela Moderna served as the model for a pedagogy committed to the direct teaching of revolutionary politics while Tolstoy's school at Yasnaya Polyana served as the model for a pedagogy committed to a rebel culture that fostered individual creativity and imagination. Historically it had been difficult to reconcile these two strands of radical education. A history of the New York years of the Modern School (1911-1915) offers an understanding of the interaction between a pedagogy concerned with rebel culture and a pedagogy committed to revolutionary politics. This interaction was positive when the libertarian classroom experiences emphasizing freedom, creativity and imagination were given political direction by the adult movement housed in the same building. The adult center provided the possibility for interchange between movement speakers, artists and organizers like Emma Goldman and Alexander Berkman and the daily play of the children. However, when the political activities of the adult movement adversely affected the children's school and forced the school to move to the country a growing separation developed between movement politics and the children's activities. This separation was exacerbated by the shifting political and historical climate of the times forcing the separation of rebel culture from revolutionary politics. By 1920 rebel culture emerged as the dominant pedagogical model. The Modern School became more like the other experimental schools that flourished during the Progressive Era and revolutionary politics would only surface periodically in the next thirty years of the school's existence at Stelton, New Jersey.	
10.2307/4065804	10.2307/4065804	Race Relations in the Lesbian Movement	Nomfundo Luphondwana	Agenda		29	1996-01-01T00:00:00Z	pp. 72-78	Agenda Feminist Media	fla			
10.2307/25088198	10.2307/25088198	Organizing for Freedom	Penina Migdal Glazer	The Massachusetts Review	13	1/2	1972-01-01T00:00:00Z	pp. 29-44	The Massachusetts Review, Inc.	fla			
10.2307/2571476	10.2307/2571476	The Role of Government in a Free Society: The Conception of Lester Frank Ward	James E. Fleming	Social Forces	24	3	1946-03-01T00:00:00Z	pp. 257-266	Oxford University Press	fla			
10.2307/3174744	10.2307/3174744	Women's Culture and Lesbian Feminist Activism: A Reconsideration of Cultural Feminism	Verta Taylor, Leila J. Rupp	Signs	19	1	1993-10-01T00:00:00Z	pp. 32-61	The University of Chicago Press	fla			
10.2307/2517305	10.2307/2517305	Frank Tannenbaum and the Mexican Revolution	Charles A. Hale	The Hispanic American Historical Review	75	2	1995-05-01T00:00:00Z	pp. 215-246	Duke University Press	fla			
10.2307/40357399	10.2307/40357399	Not the Lecture	Willa Schneberg	Bridges	1	1	1990-04-01T00:00:00Z	p. 34	Bridges Association	fla			
10.2307/3109722	10.2307/3109722	The Origins of the "Bad Tendency" Test: Free Speech in Wartime	Geoffrey R. Stone	The Supreme Court Review	2002		2002-01-01T00:00:00Z	pp. 411-453	The University of Chicago Press	fla			
10.2307/1431831	10.2307/1431831	Bismarck in a Postmodern World	Kenneth Barkin	German Studies Review	18	2	1995-05-01T00:00:00Z	pp. 241-251	German Studies Association, The Johns Hopkins University Press	fla			
10.2307/25140023	10.2307/25140023	Through the Looking Glass of Culture: An Essay on the New Labour History and Working-Class Culture in Recent Canadian Historical Writing	David J. Bercuson	Labour / Le Travail	7		1981-04-01T00:00:00Z	pp. 95-112	Athabasca University Press, Canadian Committee on Labour History	fla		This is an analysis of the concept of working-class culture as applied by some practitioners of the new labour history in Canada. The article begins with a comparison of the approach of traditional labour history to that of the "new" labour history and asserts that there are significant differences in philosophy and lesser differences in methodology. A brief examination of the concept of working-class culture and how it is to be utilized by historians follows. The validity of using such a general framework is questioned in a close examination of recent major works of the new labour history genre. A conclusion is offered that these works show that the application of general principles is a tricky business because, although factual evidence appears at times to support the idea that working-class culture was an important determinant, at other times it does not. The article concludes by questioning the assumption that there is any "best" way of approaching the study of social history; that to assert that history must be studied "from the bottom up" is as predeterministic as the notion that it should be studied "from the top down." Prejudice and a priori assumption plagues all historians. /// L'auteur se propose d'étudier le concept de culture ouvrière tel qu'il est employé par un certain nombre de spécialistes en histoire ouvrière au Canada. L'article débute par une comparaison entre l'approche traditionnelle en histoire ouvrière et celle pratiquée par la "nouvelle" vague d'historiens des travailleurs et conclue qu'il y a des différences idéologiques, mais pas tellement de différences méthodologiques entre les deux. Suit une brève analyse du concept de culture ouvrière employé par ces historiens. L'auteur met en cause la validité de ce concept après avoir sérieusement étudié leur principaux travaux récents. En conclusion, il affirme que ces travaux démontrent que l'application de principes généraux est trompeuse puisque, quoique les faits appuient parfois l'idée que la culture ouvrière fut d'une importance déterminante, à d'autres moments, ces faits le contredisent. L'article se termine en remettant en cause l'affirmation qu'il y a une meilleure façon d'aborder l'histoire sociale et que l'histoire doit être étudiée de la "base vers le sommet." Tous les historiens sont sujets aux préjugés et aux affirmations a priori.	
10.2307/41035531	10.2307/41035531	Holy Days and Hallowed Ground: An Episode of Symbolic Reconstruction in the Public Sphere	Jeffrey Wengrofsky	Berkeley Journal of Sociology	42		1997-01-01T00:00:00Z	pp. 123-153	Regents of the University of California	fla			
10.2307/2535975	10.2307/2535975	The Class Origins of Zionist Ideology	Stephen Halbrook	Journal of Palestine Studies	2	1	1972-10-01T00:00:00Z	pp. 86-110	Institute for Palestine Studies, University of California Press	fla			
10.2307/29790099	10.2307/29790099	THE JEWISH WOMAN: MYSELF AND OTHERS	Carol Rubenstein	Dialectical Anthropology	8	1/2	1983-10-01T00:00:00Z	pp. 181-184	Springer	fla			
10.2307/1599474	10.2307/1599474	The Emergence of Modern First Amendment Doctrine	David M. Rabban	The University of Chicago Law Review	50	4	1983-10-01T00:00:00Z	pp. 1205-1355	The University of Chicago Law Review	fla			
10.1525/tph.2003.25.3.79	10.1525/tph.2003.25.3.79	Cinematic History: Where Do We Go From Here?	Robert Brent Toplin	The Public Historian	25	3	2003-08-01T00:00:00Z	pp. 79-91	National Council on Public History, University of California Press	fla		The study of film and history has made remarkable progress in recent years, but an assessment of those advances leads historians to consider the challenges that lie ahead. With specific reference to Hollywood          movies about historical subjects, the author identifies five questions that are likely to engage historians: (1) Should historians focus on blockbusters or experimental films? (2) Are movies about the past          essentially about the present? (3) How can scholarship move beyond a political history of movies? (4) In which directions can research on Hollywood films move to achieve deeper levels of understanding?          (5) Is "cinematic history" essentially a genre?	
10.2307/20178459	10.2307/20178459	Adolf Dehn: The Minnesota Connection	Richard W. Cox	Minnesota History	45	5	1977-04-01T00:00:00Z	pp. 166-186	Minnesota Historical Society Press	fla			
10.2307/4634533	10.2307/4634533	Red Kate O'Hare Comes to Madison: The Politics of Free Speech	Stanley Mallach	The Wisconsin Magazine of History	53	3	1970-04-01T00:00:00Z	pp. 204-222	Wisconsin Historical Society	fla			
10.2307/494699	10.2307/494699	Models of Wisdom in the Teaching of History	Samuel S. Wineburg, Suzanne M. Wilson	The History Teacher	24	4	1991-08-01T00:00:00Z	pp. 395-412	Society for History Education	fla			
10.2307/1902461	10.2307/1902461	A Decade of Biographical Contributions to Recent American History	Arthur S. Link	The Mississippi Valley Historical Review	34	4	1948-03-01T00:00:00Z	pp. 637-652	Organization of American Historians	fla			
10.2307/40642094	10.2307/40642094	their fathers' daughters: the autobiographies of jane addams and florence kelley	rebecca sherrick	American Studies	27	1	1986-04-01T00:00:00Z	pp. 39-53	Mid-America American Studies Association	fla			
10.2307/3245191	10.2307/3245191	Play: Emma Instigated Me	Rochelle Owens	Performing Arts Journal	1	1	1976-04-01T00:00:00Z	pp. 71-94	Performing Arts Journal, Inc.	fla			
10.2307/25775931	10.2307/25775931	Workshop/Fishbowl: The (Gefilte) Fishbowl on Mitzvah Feminism	carol anne douglas	Off Our Backs	27	8	1997-08-01T00:00:00Z	pp. 14-15	off our backs, inc.	fla			
10.2307/3594285	10.2307/3594285	Impersonating China	David Der-wei Wang	Chinese Literature: Essays, Articles, Reviews (CLEAR)	25		2003-12-01T00:00:00Z	pp. 133-163	Chinese Literature: Essays, Articles, Reviews (CLEAR)	fla		This essay deals with the relations between gender, gender performity, and genre representation of gender and national identity in modern China. It argues that the issue of nation and impersonation, sexuality and political representation, constitutes a peculiar subject for modern Chinese writers, and that among these contests for leadership positions, traditional theatre and its transvestite dramaturgy are continuously called on, as true or false impersonations of China in the theatre of the world. The cases-in-point are two works about female impersonation, one by Ba Jin (b. 1904), champion of May Fourth literature, and the other by Qin Shouou (1908-1994), a popular middle-brow fiction writer in the Republican era.	
10.2307/25112326	10.2307/25112326	Between Silence and Banality: The Poetic Search for Community	Richard N. Masteller	College Literature	24	3	1997-10-01T00:00:00Z	pp. 17-32	College Literature	fla			
10.2307/3178078	10.2307/3178078	"They Wonder to Which Sex I Belong": The Historical Roots of the Modern Lesbian Identity	Martha Vicinus	Feminist Studies	18	3	1992-10-01T00:00:00Z	pp. 467-497	Feminist Studies, Inc.	fla			
10.2307/1523004	10.2307/1523004	The Significance of Anaphoric Theories of Truth and Reference	Mark Lance	Philosophical Issues	8		1997-01-01T00:00:00Z	pp. 181-198	Ridgeview Publishing Company	fla			
10.2307/27555587	10.2307/27555587	Feminism and Bureaucracy: The Minimum Wage Experiment in the District of Columbia	Vivien Hart	Journal of American Studies	26	1	1992-04-01T00:00:00Z	pp. 1-22	British Association for American Studies, Cambridge University Press	fla			
10.2307/41842797	10.2307/41842797	Keeper of the gate: Ellis Island a welcome site? Only after years of reform	Henry P. Guzda	Monthly Labor Review	109	7	1986-07-01T00:00:00Z	pp. 30-36		fla			
10.2307/3174490	10.2307/3174490	Animal Rights and Feminist Theory	Josephine Donovan	Signs	15	2	1990-01-01T00:00:00Z	pp. 350-375	The University of Chicago Press	fla			
